taster_id,taster_name,taster_twitter_handle
1,Kerin O’Keefe,@kerinokeefe
2,Roger Voss,@vossroger
3,Paul Gregutt,@paulgwine 
4,Alexander Peartree,NA
5,Michael Schachner,@wineschach
6,Anna Lee C. Iijima,NA
7,Virginie Boone,@vboone
8,Matt Kettmann,@mattkettmann
9,Sean P. Sullivan,@wawinereport
10,Jim Gordon,@gordone_cellars
11,Joe Czerwinski,@JoeCz
12,Anne Krebiehl MW,@AnneInVino
13,Lauren Buzzeo,@laurbuzz
14,Mike DeSimone,@worldwineguys
15,Jeff Jenssen,@worldwineguys
16,Susan Kostrzewa,@suskostrzewa
17,Carrie Dykes,NA
18,Fiona Adams,@bkfiona
19,Christina Pickard,@winewchristina
